GID,Name,Location,Description
GAR0272,Golden Secret Hidden Retreat,"Mexico City, Mexico",A hidden gem featuring rare plants and a tranquil atmosphere.
GAR0273,Hidden Serene Oasis,"Istanbul, Turkey",A secret garden offering a tranquil escape from the bustling city.
GAR0274,Sunny Majestic Wild Meadow,"Rio de Janeiro, Brazil",A hidden gem featuring rare plants and a tranquil atmosphere.
GAR0275,Serene Haven,"Berlin, Germany",A hidden gem featuring rare plants and a tranquil atmosphere.
GAR0276,Secret Sacred Oasis,"Barcelona, Spain",A peaceful retreat filled with vibrant flowers and serene pathways.
GAR0277,Majestic Wild Golden Haven,"Barcelona, Spain",A peaceful retreat filled with vibrant flowers and serene pathways.
GAR0278,Sunny Garden,"Sydney, Australia",A breathtaking paradise with cascading waterfalls and colorful blooms.
GAR0279,Majestic Golden Lush Paradise,"Bangkok, Thailand",A hidden gem featuring rare plants and a tranquil atmosphere.
GAR0280,Whispering Secret Hidden Sanctuary,"Barcelona, Spain",A majestic garden known for its intricate landscaping and beauty.
GAR0281,Sacred Green Garden,"Moscow, Russia",A quiet haven where nature lovers can immerse themselves in greenery.
GAR0282,Secret Peaceful Hidden Sanctuary,"Berlin, Germany",A majestic garden known for its intricate landscaping and beauty.
GAR0283,Hidden Paradise,Singapore,A charming retreat where every season brings a new burst of color.
GAR0284,Lush Meadow,"Seoul, South Korea",A breathtaking paradise with cascading waterfalls and colorful blooms.
GAR0285,Lush Whispering Serene Meadow,"Barcelona, Spain",A breathtaking paradise with cascading waterfalls and colorful blooms.
GAR0286,Serene Grove,"Berlin, Germany",An enchanted garden with a diverse collection of flora and fauna.
GAR0287,Enchanted Whispering Retreat,"Dubai, UAE",An enchanted garden with a diverse collection of flora and fauna.
GAR0288,Tranquil Golden Grove,"Cape Town, South Africa",A hidden gem featuring rare plants and a tranquil atmosphere.
GAR0289,Peaceful Haven,"Sydney, Australia",An enchanted garden with a diverse collection of flora and fauna.
GAR0290,Majestic Paradise,"Sydney, Australia",A vibrant oasis bursting with exotic flowers and tropical trees.
GAR0291,Blooming Peaceful Enchanted Haven,"Toronto, Canada",A peaceful retreat filled with vibrant flowers and serene pathways.
GAR0292,Hidden Sacred Meadow,"Rome, Italy",A quiet haven where nature lovers can immerse themselves in greenery.
GAR0293,Hidden Green Secret Paradise,"Moscow, Russia",A secret garden offering a tranquil escape from the bustling city.
GAR0294,Whispering Tranquil Enchanted Paradise,"Rome, Italy",A charming retreat where every season brings a new burst of color.
GAR0295,Peaceful Retreat,"Cape Town, South Africa",An enchanted garden with a diverse collection of flora and fauna.
GAR0296,Golden Garden,"Rome, Italy",A majestic garden known for its intricate landscaping and beauty.
GAR0297,Sunny Park,"New York, USA",A charming retreat where every season brings a new burst of color.
GAR0298,Tranquil Wild Sacred Haven,"Rio de Janeiro, Brazil",A charming retreat where every season brings a new burst of color.
GAR0299,Peaceful Garden,"Barcelona, Spain",An enchanted garden with a diverse collection of flora and fauna.
GAR0300,Green Park,"Toronto, Canada",A majestic garden known for its intricate landscaping and beauty.
